unit,title,file
0,Getting Started,introduction.html
1,Component Types,component-types.html
2,Rendering HTML Content,rendering-html.html
3,Handling Events,handling-events.html
4,Trigger/Watcher Mechanism,trigger-watcher.html
5,Partitioned Components,partitioned-components.html
6,Custom Attributes,custom-attributes.html
7,Publish/Subscribe Mechanism,service-pub-sub.html
8,Callbacks and this,callbacks-and-this.html
9,Component Life Cycle,component-lifecycle.html
10,Component Lazy-Loading,component-lazy-loading.html
11,Custom Web Elements,custom-web-elements.html
